text,uri
"**Question:**Rate your impression of the credibility of this article

**Answer:**Somewhat low credibility

**Annotator:**PE-2018-02

",https://dailyhealthpost.com/preventing-alzheimers/
"**CredCo Indicator:**Title Representativeness

**Question:**Question: Does the title of the article accurately reflect the content of the article?

**Answer:**Completely Representative

**Annotator:**PE-2018-02

",https://dailyhealthpost.com/preventing-alzheimers/
"**CredCo Indicator:**Clickbait Title

**Question:**Is the headline clickbaity?

**Answer:**Very much clickbaity

**Annotator:**PE-2018-02

",https://dailyhealthpost.com/preventing-alzheimers/
"**CredCo Indicator:**Clickbait Title

**Question:**What clickbait techniques does this headline employ (select all that apply)?

**Answer:**Listicle (“6 Tips on …”)

**Highlight**:

9 Diet & Lifestyle Habit Changes

**Annotator:**PE-2018-02

",https://dailyhealthpost.com/preventing-alzheimers/
"**CredCo Indicator:**Clickbait Title

**Question:**What clickbait techniques does this headline employ (select all that apply)?

**Answer:**Hidden secret or trick (“Fitness Companies Hate Him...”, “Experts are Dying to Know Their Secret”)

**Highlight**:

Preventing Alzheimer’s & Dementia Naturally

**Annotator:**PE-2018-02

",https://dailyhealthpost.com/preventing-alzheimers/
"**CredCo Indicator:**Single Study Article

**Question:**Is this article primarily about a single scientific study?

**Answer:**No

**Annotator:**PE-2018-02

",https://dailyhealthpost.com/preventing-alzheimers/
"**Question:**Which of the following types of sources are cited in the article? Check all that apply. If Other, please highlight.

**Answer:**Studies

**Annotator:**PE-2018-02

",https://dailyhealthpost.com/preventing-alzheimers/
"**Question:**Which of the following types of sources are cited in the article? Check all that apply. If Other, please highlight.

**Answer:**Organizations

**Annotator:**PE-2018-02

",https://dailyhealthpost.com/preventing-alzheimers/
"**CredCo Indicator:**Citation of Studies

**Question:**Highlight each scientific study cited:

**Answer:**Scientific Study 1

**Highlight**:

In one study, researchers at the Cleveland Clinic in Ohio recruited almost 100 older men and women, aged 65 to 89, some of whom had a family history of Alzheimer’s disease. Half of these participants carried the carried the e4 gene, which substantially increased their risk of developing the disease (9).

**Annotator:**PE-2018-02

",https://dailyhealthpost.com/preventing-alzheimers/
"**CredCo Indicator:**Citation of Studies

**Question:**Highlight each scientific study cited:

**Answer:**Scientific Study 1

**Highlight**:

(9).

Participants were split into four groups:

**Annotator:**PE-2018-02

",https://dailyhealthpost.com/preventing-alzheimers/
